"2031 Rättvik";"totalt";10907
"2034 Orsa";"totalt";6892
"2039 Älvdalen";"totalt";7121
"2061 Smedjebacken";"totalt";10897
"2062 Mora";"totalt";20390
"2080 Falun";"totalt";58923
"2081 Borlänge";"totalt";52224
"2082 Säter";"totalt";11123
"2083 Hedemora";"totalt";15457
"2084 Avesta";"totalt";23323
"2085 Ludvika";"totalt";26946
"2101 Ockelbo";"totalt";5906
"2104 Hofors";"totalt";9602
"2121 Ovanåker";"totalt";11684
"2132 Nordanstig";"totalt";9517
"2161 Ljusdal";"totalt";19033
"2180 Gävle";"totalt";101455
"2181 Sandviken";"totalt";39208
"2182 Söderhamn";"totalt";25721
"2183 Bollnäs";"totalt";26991
"2184 Hudiksvall";"totalt";37430
"2260 Ånge";"totalt";9411
"2262 Timrå";"totalt";18060
"2280 Härnösand";"totalt";25120
"2281 Sundsvall";"totalt";98850
"2282 Kramfors";"totalt";18423
"2283 Sollefteå";"totalt";19500
"2284 Örnsköldsvik";"totalt";56089
"2303 Ragunda";"totalt";5343
"2305 Bräcke";"totalt";6376
"2309 Krokom";"totalt";14858
"2313 Strömsund";"totalt";11703
"2321 Åre";"totalt";11529
"2326 Berg";"totalt";7097
"2361 Härjedalen";"totalt";10147
"2380 Östersund";"totalt";63227
"2401 Nordmaling";"totalt";7118
"2403 Bjurholm";"totalt";2450
"2404 Vindeln";"totalt";5436
"2409 Robertsfors";"totalt";6762
"2417 Norsjö";"totalt";4094
"2418 Malå";"totalt";3122
"2421 Storuman";"totalt";5912
"2422 Sorsele";"totalt";2522
"2425 Dorotea";"totalt";2568
"2460 Vännäs";"totalt";8785
"2462 Vilhelmina";"totalt";6752
"2463 Åsele";"totalt";2819
"2480 Umeå";"totalt";127119
"2481 Lycksele";"totalt";12228
"2482 Skellefteå";"totalt";72467
"2505 Arvidsjaur";"totalt";6334
"2506 Arjeplog";"totalt";2794
"2510 Jokkmokk";"totalt";5001
"2513 Överkalix";"totalt";3302
"2514 Kalix";"totalt";16058
"2518 Övertorneå";"totalt";4410
"2521 Pajala";"totalt";6039
"2523 Gällivare";"totalt";17630
"2560 Älvsbyn";"totalt";8140
"2580 Luleå";"totalt";77832
"2581 Piteå";"totalt";42116
"2582 Boden";"totalt";28064
"2583 Haparanda";"totalt";9785
"2584 Kiruna";"totalt";22992
